Album_Name	Song_Name	Lyrics	Unnamed: 6	Emotion
Music To Be Murdered By: Side B	These Demons	intro eminem yeah know loud pack haters funny man haha like youre gon na hate matter yet still click zombie track huh yeah verse eminem want change dont change yeah want grow dont age want rage dont get angry want new old shady want say wont say yeah dont go far go cray want almost lose man keep movin goalpost dont lets cut chase like oj bronco goin roadway skrrt get dick said balls yarn bitches would crochet haha ever wanteds rope chain day saw cool j soul train got kangol two cables haha one yellow white 		amusement
Music To Be Murdered By: Side B	Key (Skit)	intro haha hold oh verse key pocket happy see hot chicks cause cuz cuz meaning cousin meaning stemming back bro cause bro im dude dude gets chicks chicks thine getteth cause thats needeth chickeths chickadees runningeth youd lucky get seconds leftover hot chicks outro hahaha fucking stupid                                                                                                                                                                                                                              		amusement
Music To Be Murdered By: Side B	She Loves Me	intro loves loves knot got yeah dont wan na blow spot danana nana danaa woo verse lady watchin back every time walk past hate put blast got bomb ass yeah checkin ever since second stepped naunies dressing room girl youre stunning id bet youd zap next sparksll fly expect em id shocked didnt cause youre carmen electracute cutie aint sound effects knew something special soon swapped info knew chorus loves loves got loves loves aha loves one time said cause loves loves loves loves got loves loves loves verse so		surprise
Music To Be Murdered By: Side B	Killer	intro killer yeah crazy im killer made money doin da got dope chorus count five ten yeah fifteen twenty twentyfive thirty yeah get money throw furnace yeah shit funny earn burn swag drippin verse thats money got money ass call toilet paper yeah flush cash girl nice butt grabs wan na touch ass much ask yeah made grip know tough grasp get bag call potato chips stuff duffel bags public transportation shit cause bus ass fuck chain im trailer hitch got bunch swag chorus count five ten yeah fifteen twenty twentyf		amusement
Music To Be Murdered By: Side B	Zeus	verse eminem says trash listens tekashi damn bitch lost yeah fair weather wishywashy thinks machine washed swear god man favorite rapper wish hed cross yeah love conflict got obnoxious subconscious yeah im afraid unlock nah keep monsters closet im idiotic otic savant savant ive throwin gauntlets since underground rawkus yeah planted roots yeah thats whole planet roots group one thinks dark think nah imagine havoc black thoughts wreak tariq trotter keep slaughterin beats shout beatminerz tminus long breathe 		neutral
Music To Be Murdered By: Side B	Thus Far (Interlude)	interlude alfred hitchcock perhaps mention decided flip homicide little special little macabre squeamish therefore labeled                                                                                                                                                                                                                                                                                                                                                                                                      		neutral
Music To Be Murdered By: Side B	Discombobulated	intro oh ayo dre im discombobulated lets take em back accents time everythings fucked im discombobulated discombobulated miss ovulating wait didnt mean piss lady really meant say goes little something like verse soon im unisom ima hit snooze alarm lose mind gon na use utilizing tool execute line like tried one time youth euthanized poodle junior high used hide room fly moon try suicide glue school supplies proof denaun eyekyu would climb hooptie ride drews rhyme bodied saint andrews hall many times count te		neutral
Music To Be Murdered By: Side B	Premonition (Intro)	intro eminem yeah guess huh think obvious aint never gon na seeeyeto eye itsfunny much hate ineed music murdered chorus nikki grier got premonition feel end near beauty starts fade joy turned pain hear symphony playin ten thousand violins souls floating away like feathers wind verse eminem said last album sounded bitter sound like spitter ninety percent hypocrites tryna get rid would get chip shoulder considered one time illest bitch im still fly zipper true get richer ever skrilla woulda quit long motherfu		neutral
Music To Be Murdered By: Side B	Unaccommodating	intro young eminem oh doin alright verse young like bitch like wobble wobble shake itshakeit break itbreak uh nigga made itmade hate hate pro professional pure persistent im paper chasing hate complaining hated waiting ill pay patience hate pay bill hate made mil without major deal made yeah ass fake came real came uh money aint thing aint thing real broke lingo huh aint nothing saweetie quavo migo man get high let hoes lay low ooh want face facial ooh right kill erbody drake mode hello bitch im tryna eat t		anger
Music To Be Murdered By: Side B	You GonÂ Learn	chorus white gold pray see tomorrow little boy gon learn pretty bitches leave yo assinthe urn aintsold last rock justbetter earn pray see tomorrow little boy gon learn pray see tomorrow little boy gon learn pretty bitches leave yo ass urn aint sold last rock better earn pray see tomorrow little boy gon learn verse royce da im product properly hoppin poverty profitin coppin swappin property possible monopoly try adopt fathers old philosophies time im prayin god everything works colonoscopy im walkin across s		neutral
Music To Be Murdered By: Side B	Those Kinda Nights	intro bizarre ed sheeran damn girl sexy ass haha let holla da got dope oneofthose kinda nights verse eminem ed sheeran bizarre yesthis beats takin back tomy days hit club go hellraise probably end baggin cocktail waitress takin straight back motel yeah bizarres tryna get lap dance xanax jack dan ayo stripper walk im like goddamn shes like thats harassment im like yeah woo holy toledo miss ohio thats best ass ive seen datin shes cleveland shes bengal chick catty miniskirt maxi thats shortest thing dress sinc		amusement
Music To Be Murdered By: Side B	In Too Deep	verse could never work said first whatever working butwerein two differentworlds yeah im husbandnah aint girlfriend know im im different person yeah aint never met chick perfect girl youre ten yeah laying thinking bout shes asleep youre texting around two crying face emoji say without sneaking meet cheap hotel rooms sex car ill text tomorrow question nah objection cause us still involved im peelin im thinking bout chorus im happy nah rather yeah rather cause youre happy youre happy rather know deep verse yo		neutral
Music To Be Murdered By: Side B	Godzilla	intro ugh youre monster verse eminem swallow bottle alcohol ill feel like godzilla betterhitthe deck likethe card dealer whole squads inhere walking around party cross zombie apocalypse bbobby brain heenan probably reason wrestle mania shadys bitch im possed consider cross costly mistake sleepin hoes better get insomnia adhd hydroxycut pass courvoisier hey hey aa ak melee finna set like playdate better vacate retreat like vacay mayday ayy beat craycray ray j hahaha laughing way bank spray flames tame placat		amusement
Music To Be Murdered By: Side B	Darkness	chorus dont wan na alone dont wan na dont wan na alone thedarkness idont wan na bealone darkness dont wannabe alone darkness anymore hello darkness old friend verse alone cant get hole im like walls closin cant help one feel curtains closin go open em something pulls em closed hello darkness old friend feels like im loathing las vegas havent got vaguest im lost id make small wager bet ill tomorrows paper would odds favor hello darkness old friend im much like father would think knew keep pacin room valium c		sadness
Music To Be Murdered By: Side B	Leaving Heaven	intro eminem yeah knew day coming sometimes got ta come back goingtohell man stoopto someones level yeah verse eminem five dozen fliesbuzzin head call grim reaper sleep cousin youre dead ima last face see fore die cussin yep eye tigers im survivor rise triumphant cause im looking legacy leg see bunch dogs tryna dry hump like triumph puppet im like fuck pile carnage til high touching sky let em line attack single filing stack call em toy soldiers yeah cause wind backs skys nothing black coming back done told		neutral
Music To Be Murdered By: Side B	Yah Yah	intro denaun yah yah yah yah yah people yah yah yah yah yah bitches yah yah yah yah yahanimals yahyah yah yahyah verse royce da bumstickitty bumstickitty bum huh got thatold rumpumpumpum punkll jump get beat least sound sound like clowns like sound flow place fourfour waist im innovative popo way ill roll em make bacon call em pig wont hop dick words way im loss give jfk front lawn mlk crossfire get nigga evolved lost diaries mob rothschilds cmon feel like god broke vials layin inside em like caulk tile qti		neutral
Music To Be Murdered By: Side B	Stepdad	intro ayo song stepdad lets see ever happened hate mymystepdad verse one thing thatsticks craw wassix saw stepfather hittin socked right eyeball im startin think im psychotic pictures draw shit ive already witnessed probably twisted thoughts hear drama mom always hear em arguin hallways walls thin noise startin feel like norm dog pissed carpet stomped hard doctors put killed chihuahua motherfucker chorus hate stepdad stepdad tonight im sayin byebye stepdad stepdad verse outside look like im calm inside im t		neutral
Music To Be Murdered By: Side B	Marsh	intro name marsh world im cause withallthis abc shitim starting sound like alfa bit ha kill medicines counterfeit mislead sound gon na get turnt valium shit yeah verse checked royal garden chill avoid problems paranoia caused feel like im going bonkers real think toilets talkin spilled like like forty bottles pills think boy startin feel like spoiled carton milk cause occurred girls cheatin im kickin fucking bitch curb word fucking aint meant descriptive word type bitch aint adjective verb ho thinks snatch 		anger
Music To Be Murdered By: Side B	Marsh	intro name marsh world im cause withallthis abc shitim starting sound like alfa bit ha kill medicines counterfeit mislead sound gon na get turnt valium shit yeah verse checked royal garden chill avoid problems paranoia caused feel like im going bonkers real think toilets talkin spilled like like forty bottles pills think boy startin feel like spoiled carton milk cause occurred girls cheatin im kickin fucking bitch curb word fucking aint meant descriptive word type bitch aint adjective verb ho thinks snatch 		anger
Music To Be Murdered By: Side B	Never Love Again	verse could anybody choose still excuse abuse nooneknows imgoin id use tobe truthful wouldnt know lose refuse might screw loose fuse blew think might buildin tolerance cause one minute im hollerin screw next take back guess say im tryna unscrew shits pop yeah feel got totally open soon take top youre hard resist knock socks friends say youre bad hogwash chorus ill never love way loved find someone new doin cause remember still remember mine yeah inseparable one time yeah know love undying yeah used always b		love
Music To Be Murdered By: Side B	Never Love Again	verse could anybody choose still excuse abuse nooneknows imgoin id use tobe truthful wouldnt know lose refuse might screw loose fuse blew think might buildin tolerance cause one minute im hollerin screw next take back guess say im tryna unscrew shits pop yeah feel got totally open soon take top youre hard resist knock socks friends say youre bad hogwash chorus ill never love way loved find someone new doin cause remember still remember mine yeah inseparable one time yeah know love undying yeah used always b		love
Music To Be Murdered By: Side B	Little Engine	intro alfred hitchcock trust everyone enjoying music title album suggests wasmeantfor listeningpleasure done verse callthis evil intent like limo yeah like shade windows smoke gray ladies go mental way see though nah oj blade pencil yeah propane takin cranium codename titanium temple almost swallowed car call mercedes benzo bitch ball like baby ball like j jay jayz j leno cause got huge mansion huge man chin new manson loose cannon scandalous sue atkins kinda crazy cant fix im still one parents hate im hous		joy
Music To Be Murdered By: Side B	Lock It Up	intro anderson paak yeah like okay yeah verse anderson paak eminem say bro yeah get detroit yeah machine gunsprayboy gonhit new coupe ooh whippinem new boobs yeah get done payroll nice might put table spread like yayo im naughty yah bitch oh dont know shit want money ah hopeless oh im focused fuck party hold oh oh shit oh thats yeah sick oh shit oh damn im yeah getting fuckin old yeah verse eminem still explosive load clip two pistols hip gripped hold shoulder width took stab dark broke tip knife throat sli		disgust
Music To Be Murdered By: Side B	Lock It Up	intro anderson paak yeah like okay yeah verse anderson paak eminem say bro yeah get detroit yeah machine gunsprayboy gonhit new coupe ooh whippinem new boobs yeah get done payroll nice might put table spread like yayo im naughty yah bitch oh dont know shit want money ah hopeless oh im focused fuck party hold oh oh shit oh thats yeah sick oh shit oh damn im yeah getting fuckin old yeah verse eminem still explosive load clip two pistols hip gripped hold shoulder width took stab dark broke tip knife throat sli		disgust
Music To Be Murdered By: Side B	No Regrets	intro eminem toliver oh oh yeah yeah know chance overagainoh oh wouldntchange shit oh oh da got thatdope im screamin regrets chorus toliver hardest spot ego largest made star im screamin regrets movin slowly tryna play low vette look like storm screamin regrets put dumb shit got thinkin run shit aint havin regrets ive feeling alone like im lost like im verse eminem toliver yeah miss old think want od codeine want life turmoil like want front row seats give em nosebleeds want imploding exploding selfloathing		sadness
Music To Be Murdered By: Side B	I Will	intro eminem dont think stop comes besttotry blockit redrum ive sipping likevodka heads numb im blacking better watch bedlam chorus eminem thought heard voice head said kill choice left except fill pencil full poisonous lead devil wants murder beat told doubters question skill wan na put style test still best want crown head said chill want murder beat verse royce da im long way away skill foreign wheels bitch wearin fourinch heels orange pill start taking layers like orange peels sacha baron cohen ferrell 		neutral
Music To Be Murdered By: Side B	I Will	intro eminem dont think stop comes besttotry blockit redrum ive sipping likevodka heads numb im blacking better watch bedlam chorus eminem thought heard voice head said kill choice left except fill pencil full poisonous lead devil wants murder beat told doubters question skill wan na put style test still best want crown head said chill want murder beat verse royce da im long way away skill foreign wheels bitch wearin fourinch heels orange pill start taking layers like orange peels sacha baron cohen ferrell 		neutral
Music To Be Murdered By: Side B	Alfred (Outro)	interlude concludes danse macabre portions proceeding recorded rest itimvery much afraidit mind idont intend indulge postmortem havent murdered say better luck next time goodnight wherever                                                                                                                                                                                                                                                                                                                                    		curiosity
The Slim Shady LP (Expanded Edition)	Public Service Announcement (Skit)	jeff bass public service announcement brought part slim shady views events expressed totally fucked necessarily views anyone however events suggestions appear album taken lightly children partake listening album laces shoes slim shady responsible actions upon purchasing album agreed try home aanything else eminem yeah dont drugs                                                                                                                                                                                      		neutral
The Slim Shady LP (Expanded Edition)	My Name Is	chorus eminem hi name name name chkachka slim shady hi name huh name name chkachka slim shady hi name excuse name name chkachka slim shady attention class one second hi name huh name name chkachka slim shady verse eminem dr dre hi kids like violence yeah yeah yeah wan na see stick nineinch nails one eyelids uhhuh wan na copy exactly like yeah yeah try cid get fucked worse life huh brains dead weight im tryna get head straight cant figure spice girl want impregnate oh dr dre said slim shady basehead uhuh why		anger
The Slim Shady LP (Expanded Edition)	Guilty Conscience	intro mark avery eddie meet eddie years old fed life way things going damn im going fucking insane decides rob liquor store got ta take shit cant take holmes way sudden change heart shit mine suddenly got ta conscience comes play got ta verse dr dre eminem eddie alright stop huh walk door liquor store try get money drawer better think consequence im motherfuckin conscience thats nonsense go gaffle money run one aunts cribs borrow damn dress one blond wigs borrow tell need place stay youll safe days shave le		anger
The Slim Shady LP (Expanded Edition)	Guilty Conscience	intro mark avery eddie meet eddie years old fed life way things going damn im going fucking insane decides rob liquor store got ta take shit cant take holmes way sudden change heart shit mine suddenly got ta conscience comes play got ta verse dr dre eminem eddie alright stop huh walk door liquor store try get money drawer better think consequence im motherfuckin conscience thats nonsense go gaffle money run one aunts cribs borrow damn dress one blond wigs borrow tell need place stay youll safe days shave le		anger
The Slim Shady LP (Expanded Edition)	Brain Damage	intro doctor nurse scalpel sponge wait hes convulsing hes convulsing ahh gon na shock oh god oh god gon na shock oh god verse results thousand electric volts neck bolts nurse losin check pulse kid refused respect adults wore spectacles taped frames freckled nose cornylookin white boy scrawny always ornery cause always sick brawny bullies pickin might snap one day like decided strike back flatten every tire bike rack first day junior high kid said three oclock sharp afternoon die looked watch already gave lu		neutral
The Slim Shady LP (Expanded Edition)	Paul (Skit) [1999]	em whats going paul rosenberg faithful attorney law listen listened rough copy album uh yknow ive got honest tone little bit theres much explain give call                                                                                                                                                                                                                                                                                                                                                                      		neutral
The Slim Shady LP (Expanded Edition)	If I HadÂ	intro life marshall mathers life life like big obstacle front optical slow every time think youve gotten past gon na come back around tackle damn ground friends friends people think friends really enemies secret identities disguises hide true colors think close enough brothers wan na come back cut throat aint lookin money money makes man act funny money root evil moneyll make friends come back around swearin always life im tired life verse im tired backstabbinass snakes friendly grins im tired committin man		neutral
The Slim Shady LP (Expanded Edition)	Â97 Bonnie & Clyde	intro two us two us baby dada loves ima always two us two us matter happens youre got world two us two us would never give nothin two us two us nobody world ever gon na keep love verse cmon haihai goin beach grab couple toys let dada strap car seat oh wheres mama shes takin little nap trunk oh smell dada mustve runned skunk know youre thinkin kind late go swimmin know mama shes one type women crazy things dont get way shell throw fit dont play dadas toy knife honey let go dont look upset actin bashful dont 		neutral
The Slim Shady LP (Expanded Edition)	Bitch (Skit)	zoe justin zoe um kelly call however listened eminem car disgusting thing ever heard entire life seriously wan na call fucking agent tell fucking disgusting like makes upset im nauseous cant eat lunch goodbye                                                                                                                                                                                                                                                                                                                		neutral
The Slim Shady LP (Expanded Edition)	Role Model	intro okay im going attempt drown try home like mic check onetwo recordin verse im cancerous diss wouldnt wan na answer responded back battle rap wrote canibus ill strangle death ill choke break fuckin legs til bones poke skin beef ima even score equally take jerry springer beat ass legally get blunted funny home grown cause smoke hit trees harder sonny bono oh said never drugs would mean lie get fucked president hilary clinton tried slap call pervert ripped fuckin tonsils fed sherbet bitch nerves hurt late		neutral
The Slim Shady LP (Expanded Edition)	My Fault	chorus never meant give mushrooms girl never meant bring world youre sittin corner crying fault fault never meant give mushrooms girl never meant bring world youre sittin corner crying fault fault verse went johns rave ron dave met new wave blonde babe half head shaved nurse aid came get laid tied first aid tape raped first date ooh susan exheroin addict stopped usin love booze alternative music told going back usin nah said wait first try hallucinogen better heroin henn booze gin cmere lets go whos den kel		neutral
The Slim Shady LP (Expanded Edition)	Ken Kaniff (Skit) [1999]	ken kaniff operator eminem im gon na call motherfucker oh fuck yeah give piece mind piece ass thank waiting hello may help oh thank need make collect call number oh number tone please say name kenneth kaniff connecticut automated piece shit yo hey cock boy whos ken kaniff ken kaniff connecticut little bitch connecticut yeah wan na get dont know nobody connecticut wan na get hotel room hotel room yeah want lick ass eminem yo cage hey want fuckin melt mouth hand melt ass little cock boy yo shut lil bitch oh t		gratitude
The Slim Shady LP (Expanded Edition)	Cum on Everybody	produced bass brothers intro hahahahaha yo mic check woo shit testing one two um twelve outsiderz dance song hear outsiderz rah digga young zee bust bust alright ayy turn headphones verse favorite color red like bloodshed kurt cobains head shot dead women grabbin shish kabab bought lauryn hills tape kids could starve cant stand white people thought ill im even shit got fullblown aids sore throat got wardrobe orange robe im fourth row signin autographs show remembered im absentminded wait mean ive lost mind 		amusement
The Slim Shady LP (Expanded Edition)	Rock Bottom	produced bass brothers intro ayo song dedicated happy people happy people real nice lives idea like broke fuck verse feel like im walkin tight rope without circus net poppin percocet im nervous wreck deserve respect work sweat worthless check im bout burst tec somebody reverse debt minimum wage got adrenaline caged full venom rage specially im engaged daughters last diaper got ass hyper pray god answers maybe ill ask nicer watchin ballers flossin pathfinders overnight stars becomin autographsigners long blo		nervousness
The Slim Shady LP (Expanded Edition)	Just DonÂt Give a Fuck	produced jeff bass intro frogg woah aget yo hands air get clappin em like back forth athis thought wasnt bes brothers representin dirty dozen fro double g check man goes name um er verse eminem slim shady brain dead like jim brady im little like kim lady im buzzin dirty dozen naughty rotten rhymer cursin players worse marty schottenheimer wacker motherfucker bit yo style aint gon sell two copies press double album admit fuck comin open im doin acid crack smack coke smokin dope name marshall mathers im alcoh		neutral
The Slim Shady LP (Expanded Edition)	Soap (Skit)	roger skylar skylar montgomery want roger know along messing around dear veronica wait minute hold right woman love love know love destined together met beach destroy roger thats want love gon na together never                                                                                                                                                                                                                                                                                                              		curiosity
The Slim Shady LP (Expanded Edition)	As the World Turns	chorus dont know yes man world keeps turning world turns round round experience things life wish would stop let right trials tribulations dont know must go world keeps turning someone wants test us round round someone tries patience wish would stop let right verse hang bunch hippies wacky tobacco planters swallow lit roaches light like jackolanterns outsidaz baby suin courts cause dope fuck get source yo never shouldve booted outta reform school uhuh deformed fool takin shit warm pool til threw ramada inn s		annoyance
The Slim Shady LP (Expanded Edition)	    IÂm Shady	produced bass brothers verse eminem came two glocks terrorize borough huh told slap dips murder girl gave finger told sit twirl sold billion tapes still screamed fuck world im slim shady come kill names hot shoot times spot ow think got generation brainwashed pop pills smoke pot til brains rot stop blood flow til veins clot need pain shot shot plain scotch purple haze acid raindrops spike punch party drink pop shaved armpits wore tank top bad boy told cant stop got ta make em fear fore make em feel everybod		neutral
The Slim Shady LP (Expanded Edition)	Bad Meets Evil	produced jeff bass intro cowboy jeff bass reckon aint familiar parts know theres story behind saloon years ago two outlaws took whole town sheriffs couldnt stop em quickest damn gunslingers ive ever seen got murdered coldblood old saloon little home away home say ghosts bad evil still live tavern quiet night still hear footsteps slim shady royce da verse eminem royce da dont speak float air wrapped sheet im real person im ghost trapped beat translate voice read seismograph noise spread picked transmitted ro		neutral
The Slim Shady LP (Expanded Edition)	Still DonÂt Give a Fuck	produced bass brothers intro lot people ask afraid death hell yeah im afraid death dont want die yet lot people think worship devil types retarded shit look cant change way think cant change way offended good cause still dont give fuck verse im zonin one joint stoppin limo hopped window shoppin demo gunpoint lyricist without clue year fuck needle heres sword body pierce livin amuck never givin fuck give keys im drunk ive never driven truck smoke dope cab ill stab sharpest knife grab come back next week reop		fear
The Slim Shady LP (Expanded Edition)	Hazardous Youth	like like like im illest rapper hold cordless patrollin corners lookin hookers punch mouth roll quarters im meaner action roscoe beatin james todd senior smackin back vacuum cleaner attachments grew wild hood hazardous youth fucked childhood used excuse aint shit changed kept mind state since third time failed ninth grade probably think im negative person dont sure dont promote violence encourage laugh sight death fall cement flight steps land inside bed spider webs throw caution wind friend jump bridge liv		neutral
The Slim Shady LP (Expanded Edition)	Get You Mad	intro eminem yo miccheck dick testing one two fuck dick nuts verse eminem attitude worse nwas ill battle stupid shit diss people aint shit like cool j tattoo see standin outside buildin screamin puffy good slim shady children look life new light fuck give two mics write songs fuck like probably hear rap halfhearted cause dont like rap anyway im tryna get porno career started oh hell yeah every place event done shit dre stuck suitcase went want deal study five chapters lesson throw demos hard signed rappers 		anger
The Slim Shady LP (Expanded Edition)	Greg	met retarded kid name greg wooden leg snatched beat fucking head peg go bed keg wake mix alka seltzer formula fuck acid tab strapped whole sheet forehead waited til absorbed fell floor dead said case closed end discussion im blowin like spontaneous human combustion leavin aftermath holocaust traumas cross bombers blowin house killin parents comin back get foster mommas im good keepin promise nostradamus cause aint makin threats im doin drivebys tinted corvettes vietnam war vets im less sick head maybe cause		neutral
The Slim Shady LP (Expanded Edition)	Bad Guys Always Die	intro wild haha wild west ha ride verse dr dre eminem see sun reflectin gun ready showdown go one sweat brow lets settle ima show real cowboys get im polishin gold waitin drama unfold got blunt rolled feelin bold gangstas blood runs cold time reload old colt winds gusty hot muggy dusty bust couple shots make sure im rusty past noon soon sip little moonshine inside saloon sudden hear sound hoofs sounds like thousand wolves cock back put toast holster froze pose like poster hes closer close hold heat sturdy h		amusement
The Slim Shady LP (Expanded Edition)	Guilty Conscience (Radio Version)	intro mark avery eddie meet eddie years old fed life way things going goddamn im going fucking insane decides rob liquor store got ta take shit cant take holmes way sudden change heart shit mine suddenly got ta conscience comes play got ta verse dr dre eminem eddie alright stop huh walk door liquor store try get money drawer better think consequence im mother conscience thats nonsense go gaffle money run one aunts cribs borrow damn dress one blond wigs borrow tell need place stay youll safe days shave legs 		anger
The Slim Shady LP (Expanded Edition)	Just DonÂt Give a Fuck (A Cappella)	verse eminem slim shady brain dead like jim brady im little like kim lady im buzzin dirty dozen naughty rotten rhymer cursin players worse marty schottenheimer wacker motherfucker bit yo style aint gon sell two copies press double album admit fuck comin open im doin acid crack smack coke smokin dope name marshall mathers im alcoholic disease dont know call better hide wallet cause im comin quick strip yo cash bought ticket yo concert come whip yo ass bitch im comin swingin fast itll make yo eyes spin gettin		neutral
Kamikaze	The Ringer	intro plane crash yeah illa illa illa yo im gon na write first thoughts see takes cause feel like wan na punch world fuckin face right yeah verse let explain make greatness straight gate im bout break aint mistakes allowed make mistake im bout rape alphabet may raise brows press issue get anger brrr full magazine could take staples savage aint thinkin bout bank account bitch im chain like kala brown motherfucker shut fuck im talkin lil bitch im sorry wait whats talent oh critiquin talent oh bitch dont know 		anger
Kamikaze	Greatest	intro motherfuckers talkin crazy yeah sayin quit ah fuckin tell em make bitch eat fuckin dick yeah im feelin like greatest woo beat ever mike one made shady lyrics verse im somewhat outlandish say say cut cloth guess fabricate eh better bring men latter day saints manic states stephen paddock automatic stay sprayin anything may stand way stand bay window hand grenade trey eight mandalay bay common sense im dollar short day late james holmes saturday batman matinee must missed cat scan day yeah threw tampax 		neutral
Kamikaze	Lucky You	intro joyner lucas woah joyner joyner yeah yeah yeah prechorus joyner lucas yeah done lot things day admit dont take back say said meant life want grammy ill prolly never get aint never trophy motherfuckin ribbon yah said fuck system im nigga bend law cut rules im risk aint got much lose yall eatin long enough turn cut food pass plate drink day lucky fuck woo chorus joyner lucas yall got ta move yall got ta move yall got ta move give room give room give juice hop coupe hop coupe hop shoot yall got ta move y		excitement
Kamikaze	Paul (Skit)	skit paul rosenberg hey em paul umm listened new album umm really gon na reply everybody dont like say uh stuff youre working mean dont know thats really great idea itsits like whats next kamikaze album reply everybody didnt like album made replying everybody didnt like previous album slippery slope ii dont know really good idea umm anyway hit back                                                                                                                                                                  		admiration
Kamikaze	Normal	intro illa illa illa yo keep man dont know whats hoes man gettin relationships like im sayin maybe says somethin yeah yup look mirror chorus want normal cant bitches normal always got ta extra always need lecture ex hates talk shes texter even im bed layin right next wants get back together said til gets act together verse thinks im bein mean starts scream shout shes let demons dont wan na see females tell bitch beat take scenic route retaliates tryin leave house evening gown cleavage weve road many times c		neutral
Kamikaze	Em Calls Paul (Skit) [2018]	skit eminem gps paul yo um got message wish would answer fuckin phone um turn right dont plan reply everybody fuckin says something fucked say reading comments last night like turn right people fuckin saying revival uhh yo yahoo motherfucker whatever fuck name said rhyliterally said rhymed rhymes chimes sucker free confidence high breeze pen rhymes turn right like dont understand im rhyming entire fuckin sentence fuckin moron feet turn left fault cause youre fuckin stupid swear god motherfucker lives michig		anger
